ID,SEQUENCE,POS,PROJECT,FILE
74,Index Slice,NN NN,pandas-main,indexing.py
75,Indexing Mixin,VBG NN,pandas-main,indexing.py
76,Location Indexer,NN NN,pandas-main,indexing.py
77,Loc Indexer,NN NN,pandas-main,indexing.py
78,i Loc Indexer,PRP NN NN,pandas-main,indexing.py
79,Scalar Access Indexer,NN NN NN,pandas-main,indexing.py
80,At Indexer,IN NNP,pandas-main,indexing.py
81,i At Indexer,PRP IN NNP,pandas-main,indexing.py
82,Flags,NNS,pandas-main,flags.py
83,disallow,VB,pandas-main,nanops.py
84,bottleneck switch,NN NN,pandas-main,nanops.py
85,ND Frame,NNP NN,pandas-main,generic.py
86,Pandas Object,NNP NN,pandas-main,base.py
87,No New Attributes Mixin,DT JJ NNS NN,pandas-main,base.py
88,Selection Mixin,NN NN,pandas-main,base.py
89,Index Ops Mixin,NN NN NN,pandas-main,base.py
90,Dir Names Mixin,NN NNS NN,pandas-main,accessor.py
91,Pandas Delegate,NNP NN,pandas-main,accessor.py
92,Cached Accessor,VBN NN,pandas-main,accessor.py
93,Ops Mixin,NN NN,pandas-main,arraylike.py
94,Series,NN,pandas-main,series.py
95,Resampler,NNP,pandas-main,resample.py
96,Group By Mixin,NN IN NNP,pandas-main,resample.py
97,Datetime Index Resampler,NN NN NNP,pandas-main,resample.py
98,Datetime Index Resampler Groupby,NN NN NNP NNP,pandas-main,resample.py
99,Period Index Resampler,NN NN NNP,pandas-main,resample.py
100,Period Index Resampler Groupby,NN NN NNP NNP,pandas-main,resample.py
101,Timedelta Index Resampler,NNP NN NNP,pandas-main,resample.py
102,Timedelta Index Resampler Groupby,NNP NN NNP NNP,pandas-main,resample.py
103,Time Grouper,NN NN,pandas-main,resample.py
104,Multi Index U Int Engine,JJ NN FW NNP NN,pandas-main,multi.py
105,Multi Index Py Int Engine,JJ NN FW NNP NN,pandas-main,multi.py
106,Multi Index,JJ NN,pandas-main,multi.py
107,Period Index,NN NN,pandas-main,period.py
108,Interval Index,NN NN,pandas-main,interval.py
109,Extension Index,NN NN,pandas-main,extension.py
110,ND Array Backed Extension Index,NNP NN VBN NN NN,pandas-main,extension.py
111,Properties,NNS,pandas-main,accessors.py
112,Arrow Temporal Properties,NN JJ NNS,pandas-main,accessors.py
113,Datetime Properties,NN NNS,pandas-main,accessors.py
114,Timedelta Properties,NNP NNS,pandas-main,accessors.py
115,Period Properties,NN NNS,pandas-main,accessors.py
116,Combined Datetime like Properties,VBN NN IN NNS,pandas-main,accessors.py
117,Index,NN,pandas-main,base.py
118,Range Index,NN NN,pandas-main,range.py
119,Datetime Index,NN NN,pandas-main,datetimes.py
120,Categorical Index,JJ NN,pandas-main,category.py
121,Timedelta Index,NNP NNP,pandas-main,timedeltas.py
122,Datetime Index Ops Mixin,NN NN NN NN,pandas-main,datetimelike.py
123,Datetime Timedelta Mixin,NNP NNP NNP,pandas-main,datetimelike.py
124,Pandas Buffer,NNP NN,pandas-main,buffer.py
125,Pandas Buffer Py arrow,NNP NN NNP NN,pandas-main,buffer.py
126,Pandas Data Frame X chg,NNP NNS NN FW NNP,pandas-main,dataframe.py
127,Pandas Column,NNP NN,pandas-main,column.py
128,Dl pack Device Type,NNP NN NN NN,pandas-main,dataframe_protocol.py
129,D type Kind,NN NN NN,pandas-main,dataframe_protocol.py
130,Column Null Type,NN JJ NN,pandas-main,dataframe_protocol.py
131,Column Buffers,NN NNS,pandas-main,dataframe_protocol.py
132,Categorical Description,JJ NN,pandas-main,dataframe_protocol.py
133,Buffer,NN,pandas-main,dataframe_protocol.py
134,Column,NN,pandas-main,dataframe_protocol.py
135,Data Frame,NN NN,pandas-main,dataframe_protocol.py
136,Arrow C Types,NN FW NNS,pandas-main,utils.py
137,Endianness,NN,pandas-main,utils.py
138,Year Month Day Dict,NN NN NN NN,pandas-main,datetimes.py
139,Full datetime Dict,JJ NN NN,pandas-main,datetimes.py
140,Index Type,NN NN,pandas-main,extensions.py
141,Series Type,NN NN,pandas-main,extensions.py
142,Index Model,NN NN,pandas-main,extensions.py
143,Series Model,NN NN,pandas-main,extensions.py
144,Iloc Type,NNP NN,pandas-main,extensions.py
145,I Loc Model,PRP NN NN,pandas-main,extensions.py
146,Py Tables Scope,NNP NNS NN,pandas-main,pytables.py
147,Term,NN,pandas-main,pytables.py
148,Constant,NN,pandas-main,pytables.py
149,Bin Op,JJ NN,pandas-main,pytables.py
150,Filter Bin Op,NN JJ NN,pandas-main,pytables.py
151,Joint Filter Bin Op,JJ NN JJ NN,pandas-main,pytables.py
152,Condition Bin Op,NN NN NN,pandas-main,pytables.py
153,Joint Condition Bin Op,JJ NN NN NN,pandas-main,pytables.py
154,Unary Op,JJ NN,pandas-main,pytables.py
155,Py Tables Expr Visitor,NNP NNS NN NN,pandas-main,pytables.py
156,Py Tables Expr,NNP NNS NN,pandas-main,pytables.py
157,Term Value,NN NN,pandas-main,pytables.py
158,Deep Chain Map,JJ NN NN,pandas-main,scope.py
159,Scope,NN,pandas-main,scope.py
160,Term,NN,pandas-main,ops.py
161,Constant,NN,pandas-main,ops.py
162,Op,NN,pandas-main,ops.py
163,Bin Op,JJ NN,pandas-main,ops.py
164,Div,NNP,pandas-main,ops.py
165,Unary Op,JJ NN,pandas-main,ops.py
166,Math Call,NN NN,pandas-main,ops.py
167,Func Node,NN NN,pandas-main,ops.py
168,Abstract Engine,JJ NN,pandas-main,engines.py
169,Num Expr Engine,NN NN NN,pandas-main,engines.py
170,Python Engine,NNP NN,pandas-main,engines.py
171,Base Expr Visitor,JJ NN NN,pandas-main,expr.py
172,Pandas Expr Visitor,NNP NN NN,pandas-main,expr.py
173,Python Expr Visitor,NNP NN NN,pandas-main,expr.py
174,Expr,NN,pandas-main,expr.py
175,Group By Indexing Mixin,VB IN NN NN,pandas-main,indexing.py
176,Group By Positional Selector,VB IN JJ NN,pandas-main,indexing.py
177,Group By Nth Selector,VB IN NNP NN,pandas-main,indexing.py
178,Wrapped Cython Op,JJ NNP NN,pandas-main,ops.py
179,Base Grouper,JJ NN,pandas-main,ops.py
180,Bin Grouper,JJ NN,pandas-main,ops.py
181,Data Splitter,NNS NN,pandas-main,ops.py
182,Series Splitter,NN NN,pandas-main,ops.py
183,Frame Splitter,NN NN,pandas-main,ops.py
184,Named Agg,VBN NNP,pandas-main,generic.py
185,Series Group By,NN VB IN,pandas-main,generic.py
186,Data Frame Group By,NN NN VB IN,pandas-main,generic.py
187,Output Key,NN NN,pandas-main,base.py
188,Grouper,NN,pandas-main,grouper.py
189,Grouping,NN,pandas-main,grouper.py
190,Group By Plot,NN IN NN,pandas-main,groupby.py
191,Base Group By,JJ NN RB,pandas-main,groupby.py
192,Group By,VB IN,pandas-main,groupby.py
193,Join Unit,NN NN,pandas-main,concat.py
194,Block,NN,pandas-main,blocks.py
195,EA Backed Block,NNP VBN NN,pandas-main,blocks.py
196,Extension Block,NN NN,pandas-main,blocks.py
197,Numpy Block,NNP NN,pandas-main,blocks.py
198,ND Array Backed Extension Block,NNP NN VBN NN NN,pandas-main,blocks.py
199,Datetime Like Block,NN IN NN,pandas-main,blocks.py
200,Datetime TZ Block,NN NNP NN,pandas-main,blocks.py
201,Block Pair Info,NN NN NN,pandas-main,ops.py
202,Base Block Manager,NN NN NN,pandas-main,managers.py
203,Block Manager,NN NN,pandas-main,managers.py
204,Single Block Manager,JJ NN NN,pandas-main,managers.py
205,Concatenator,NN,pandas-main,concat.py
206,Merge Operation,VB NN,pandas-main,merge.py
207,Ordered Merge,VBN VB,pandas-main,merge.py
208,As Of Merge,IN IN VB,pandas-main,merge.py
209,Unstacker,NN,pandas-main,reshape.py
210,Extension D type,NN NN NN,pandas-main,base.py
211,Storage Extension D type,NN NN NN NN,pandas-main,base.py
212,Registry,NN,pandas-main,base.py
213,Pandas Extension D type,NNP NN NN NN,pandas-main,dtypes.py
214,Categorical D type Type,JJ NN NN NN,pandas-main,dtypes.py
215,Categorical D type,JJ NN NN,pandas-main,dtypes.py
216,Datetime TZD type,NN NN NN,pandas-main,dtypes.py
217,Period D type,NN NN NN,pandas-main,dtypes.py
218,Interval D type,NN NN NN,pandas-main,dtypes.py
219,Numpy EAD type,NNP NNP NN,pandas-main,dtypes.py
220,Base Masked D type,JJ VBN NN NN,pandas-main,dtypes.py
221,Sparse D type,JJ NN NN,pandas-main,dtypes.py
222,Arrow D type,NN NN NN,pandas-main,dtypes.py
223,ND Frame Describer Abstract,NNP NN NN NN,pandas-main,describe.py
224,Series Describer,NN NN,pandas-main,describe.py
225,Data Frame Describer,NN NN NN,pandas-main,describe.py
226,Select N,VB CD,pandas-main,selectn.py
227,Select N Series,VB CD NNS,pandas-main,selectn.py
228,Select N Frame,VB CD NN,pandas-main,selectn.py
229,Object String Array Mixin,NN NN NN NN,pandas-main,object_array.py
230,Base String Array Methods,JJ NN NN NNS,pandas-main,base.py
231,String Methods,NN NNS,pandas-main,accessor.py
232,String D type,NN NN NN,pandas-main,string_.py
233,Base String Array,JJ NN NN,pandas-main,string_.py
234,String Array,NN NN,pandas-main,string_.py
235,Period Array,NN NN,pandas-main,period.py
236,Numpy Extension Array,NN NN NN,pandas-main,numpy_.py
237,Interval Array,NN NN,pandas-main,interval.py
238,Numeric D type,JJ NN NN,pandas-main,numeric.py
239,Numeric Array,JJ NN,pandas-main,numeric.py
240,Base Masked Array,JJ VBN NN,pandas-main,masked.py
241,ND Array Backed Extension Array,NNP NN VBN NN NN,pandas-main,_mixins.py
242,Boolean D type,NN NN NN,pandas-main,boolean.py
243,Boolean Array,NN NN,pandas-main,boolean.py
244,Extension Array,NN NN,pandas-main,base.py
245,Extension Array Supports Any All,NN NN VBZ DT DT,pandas-main,base.py
246,Extension Ops Mixin,NN NN NN,pandas-main,base.py
247,Extension Scalar Ops Mixin,NN NN NN NN,pandas-main,base.py
248,Arrow String Array Mixin,NN NN NN NN,pandas-main,_arrow_string_mixins.py
249,Datetime Array,NN NN,pandas-main,datetimes.py
250,Floating D type,JJ NN NN,pandas-main,floating.py
251,Floating Array,JJ NN,pandas-main,floating.py
252,Float32 D type,NNP NN NN,pandas-main,floating.py
253,Float64 D type,NNP NN NN,pandas-main,floating.py
254,Categorical,JJ,pandas-main,categorical.py
255,Categorical Accessor,JJ NN,pandas-main,categorical.py
256,Arrow String Array,NN NN NN,pandas-main,string_arrow.py
257,Arrow String Array Numpy Semantics,NN NN NN NNP NN,pandas-main,string_arrow.py
258,Integer D type,NN NN NN,pandas-main,integer.py
259,Integer Array,NN NN,pandas-main,integer.py
260,Int8 D type,NNP NN NN,pandas-main,integer.py
261,Int16 D type,NNP NN NN,pandas-main,integer.py
262,Int32 D type,NNP NN NN,pandas-main,integer.py
263,Int64 D type,NN NN NN,pandas-main,integer.py
264,UInt8 D type,NNP NN NN,pandas-main,integer.py
265,UInt16 D type,NNP NN NN,pandas-main,integer.py
266,UInt32 D type,NNP NN NN,pandas-main,integer.py
267,UInt64 D type,NNP NN NN,pandas-main,integer.py
268,Timedelta Array,NNP NN,pandas-main,timedeltas.py
269,Datetime Like Array Mixin,NN IN NN NN,pandas-main,datetimelike.py
270,Date like Ops,NN IN NN,pandas-main,datetimelike.py
271,Time like Ops,NN IN NN,pandas-main,datetimelike.py
272,Base Accessor,JJ NN,pandas-main,accessor.py
273,Sparse Accessor,JJ NN,pandas-main,accessor.py
274,Sparse Frame Accessor,JJ NN NN,pandas-main,accessor.py
275,ellipsis,NN,pandas-main,array.py
276,Sparse Array,JJ NN,pandas-main,array.py
277,Arrow Period Type,NN NN NN,pandas-main,extension_types.py
278,Arrow Interval Type,NN NN NN,pandas-main,extension_types.py
279,Forbidden Extension Type,JJ NN NN,pandas-main,extension_types.py
280,Arrow Accessor,NN NN,pandas-main,accessors.py
281,List Accessor,NN NN,pandas-main,accessors.py
282,Struct Accessor,NN NN,pandas-main,accessors.py
283,Arrow Extension Array,NN NN NN,pandas-main,array.py
284,Base Indexer,JJ NN,pandas-main,objects.py
285,Fixed Window Indexer,JJ NN NN,pandas-main,objects.py
286,Variable Window Indexer,JJ NN NN,pandas-main,objects.py
287,Variable Offset Window Indexer,JJ NN NN NN,pandas-main,objects.py
288,Expanding Indexer,JJ NN,pandas-main,objects.py
289,Fixed Forward Window Indexer,JJ JJ NN NN,pandas-main,objects.py
290,Groupby Indexer,NNP NN,pandas-main,objects.py
291,Exponential Moving Window Indexer,JJ JJ NN NN,pandas-main,objects.py
292,Exponential Moving Window,JJ JJ NN,pandas-main,ewm.py
293,Exponential Moving Window Groupby,JJ JJ NN NNP,pandas-main,ewm.py
294,Online Exponential Moving Window,JJ JJ JJ NN,pandas-main,ewm.py
295,EWM Mean State,NNP JJ NNP,pandas-main,online.py
296,Base Window,JJ NN,pandas-main,rolling.py
297,Base Window Groupby,JJ NN NNP,pandas-main,rolling.py
298,Window,NN,pandas-main,rolling.py
299,Rolling And Expanding Mixin,JJ CC JJ NN,pandas-main,rolling.py
300,Rolling,JJ,pandas-main,rolling.py
301,Rolling Groupby,JJ NNP,pandas-main,rolling.py
302,Expanding,JJ,pandas-main,expanding.py
303,Expanding Groupby,JJ NNP,pandas-main,expanding.py
304,Test nanops Data Frame,VB NNPS NN NN,pandas-main,test_nanops.py
305,Test Ensure Numeric,VB VB NNP,pandas-main,test_nanops.py
306,Test Nan var Fixed Values,VB NNP NN VBN NNS,pandas-main,test_nanops.py
307,Test Nan skew Fixed Values,VB NNP JJ VBN NNS,pandas-main,test_nanops.py
308,Test Nan kurt Fixed Values,VB NNP NNP VBN NNS,pandas-main,test_nanops.py
309,Test Datetime 64 Na N Ops,VB NNP CD NNP NN NN,pandas-main,test_nanops.py
310,Test Factorize,VB VB,pandas-main,test_algos.py
311,Test Unique,VB JJ,pandas-main,test_algos.py
312,Test I sin,NN PRP NNP,pandas-main,test_algos.py
313,Like Nan,IN NNP,pandas-main,test_algos.py
314,Test Value Counts,VB NN NNS,pandas-main,test_algos.py
315,Test Duplicated,VB VBN,pandas-main,test_algos.py
316,Test Hash Table,VB NN NN,pandas-main,test_algos.py
317,Test Rank,VB NN,pandas-main,test_algos.py
318,Test Mode,VB NN,pandas-main,test_algos.py
319,Test Diff,VB NN,pandas-main,test_algos.py
320,Test Take,VB VB,pandas-main,test_take.py
321,Test Extension Take,VB NN VB,pandas-main,test_take.py
322,X,FW,pandas-main,test_register_accessor.py
323,My Accessor,PRP$ NN,pandas-main,test_register_accessor.py
324,Bad,JJ,pandas-main,test_register_accessor.py
325,some call,DT NN,pandas-main,test_common.py
326,Test Is Bool Indexer,NN VBZ NN NN,pandas-main,test_common.py
327,My List,PRP$ NN,pandas-main,test_common.py
328,Test Flags,VB NNS,pandas-main,test_flags.py
329,Test Multi Level,NN JJ NN,pandas-main,test_multilevel.py
330,Test Sorted,VB VBN,pandas-main,test_multilevel.py
331,Test Expressions,VB NNS,pandas-main,test_expressions.py
332,My Class,PRP$ NN,pandas-main,test_downstream.py
333,Foo,NNP,pandas-main,test_errors.py
334,Test Sorting,VB NN,pandas-main,test_sorting.py
335,Test Merge,VB VB,pandas-main,test_sorting.py
336,Test Safe Sort,VB JJ NN,pandas-main,test_sorting.py
337,My EA,PRP$ NNP,pandas-main,test_extension.py
338,Test Extension Array,VB NN NN,pandas-main,test_extension.py
339,Test Masked Arrays,VB VBN NNS,pandas-main,test_masked.py
340,Test 2 D Compat,VB CD NN NN,pandas-main,test_masked.py
341,Test Sparse Array,VB JJ NN,pandas-main,test_sparse.py
342,Test String Array,VB NN NN,pandas-main,test_string.py
343,Test 2 D Compat,VB CD NN NN,pandas-main,test_string.py
344,Test Interval Array,VB NN NN,pandas-main,test_interval.py
345,Test Arrow Array,VB NN NN,pandas-main,test_arrow.py
346,Test Logical Ops,VB NN NNS,pandas-main,test_arrow.py
347,Old Arrow Extension Array,JJ NN NN NN,pandas-main,test_arrow.py
348,Dummy D type,JJ NN NN,pandas-main,test_common.py
349,Dummy Array,JJ NN,pandas-main,test_common.py
350,Test Extension Array D type,VB NN NN NN NN,pandas-main,test_common.py
351,Capturing String Array,VBG NN NN,pandas-main,test_common.py
352,Test Numpy Extension Array,VB NN NN NN,pandas-main,test_numpy.py
353,Test 2 D Compat,NN CD NN NN,pandas-main,test_numpy.py
354,Test Datetime Array,VB NN NN,pandas-main,test_datetime.py
355,Test 2 D Compat,VB CD NN NN,pandas-main,test_datetime.py
356,Test Period Array,VB NN NN,pandas-main,test_period.py
357,Test 2 D Compat,VB CD NN NN,pandas-main,test_period.py
358,Test Categorical,VB JJ,pandas-main,test_categorical.py
359,Test 2 D Compat,VB CD NN NN,pandas-main,test_categorical.py
360,Float Attr D type,NN NN NN NN,pandas-main,array.py
361,Float Attr Array,NN NN NN,pandas-main,array.py
362,List D type,NN NN NN,pandas-main,array.py
363,List Array,NN NN,pandas-main,array.py
364,Date D type,NN NN NN,pandas-main,array.py
365,Date Array,NN NN,pandas-main,array.py
366,Base Set item Tests,JJ NN NN NNS,pandas-main,setitem.py
367,Base Parsing Tests,JJ VBG NNS,pandas-main,io.py
368,Base Casting Tests,JJ VBG NNS,pandas-main,casting.py
369,Base Reduce Tests,JJ VB NNS,pandas-main,reduce.py
370,Base Printing Tests,JJ VBG NNS,pandas-main,printing.py
371,Base Missing Tests,JJ VBG NNS,pandas-main,missing.py
372,Base Ops Util,JJ NNS NN,pandas-main,ops.py
373,Base Arithmetic Ops Tests,JJ JJ NNS NNS,pandas-main,ops.py
374,Base Comparison Ops Tests,JJ NN NNS NNS,pandas-main,ops.py
375,Base Unary Ops Tests,JJ JJ NNS NNS,pandas-main,ops.py
376,Base Accumulate Tests,JJ VB NNS,pandas-main,accumulate.py
377,Base D type Tests,JJ NN NN NNS,pandas-main,dtype.py
378,Base Constructors Tests,JJ NNS NNS,pandas-main,constructors.py
379,Base Extension Tests,JJ NN NNS,pandas-main,base.py
380,Dim 2 Compat Tests,NN CD NN NNS,pandas-main,dim2.py
381,ND Array Backed 2D Tests,NNP NN VBN NNP NNS,pandas-main,dim2.py
382,Base Interface Tests,JJ NN NNS,pandas-main,interface.py
383,Base Get item Tests,JJ VB NN NNS,pandas-main,getitem.py
384,Base Index Tests,JJ NN NNS,pandas-main,index.py
385,Base Methods Tests,JJ NNS NNS,pandas-main,methods.py
386,Extension Tests,NN NNS,pandas-main,__init__.py
387,Base Reshaping Tests,JJ VBG NNS,pandas-main,reshaping.py
388,Base Groupby Tests,JJ NNP NNS,pandas-main,groupby.py
389,JSOND type,NNP NN,pandas-main,array.py
390,JSON Array,NNP NN,pandas-main,array.py
391,Test JSON Array,VB NNP NN,pandas-main,test_json.py
392,Decimal D type,JJ NN NN,pandas-main,array.py
393,Decimal Array,JJ NN,pandas-main,array.py
394,Test Decimal Array,VB JJ NN,pandas-main,test_decimal.py
395,Decimal Array Without From Sequence,JJ NN IN IN NN,pandas-main,test_decimal.py
396,Decimal Array Without Coercion,JJ NN IN NN,pandas-main,test_decimal.py
397,Test Set Ops,VB NN NNS,pandas-main,test_setops.py
398,Test Set Ops Unsorted,VB NN NNS JJ,pandas-main,test_setops.py
399,Test Take,VB VB,pandas-main,test_indexing.py
400,Test Contains,VB VBZ,pandas-main,test_indexing.py
401,Test Get Loc,VB VB NN,pandas-main,test_indexing.py
402,E,FW,pandas-main,test_indexing.py
403,Test Get Indexer,VB VB NN,pandas-main,test_indexing.py
404,Test Convert Slice Indexer,VB VB NN NN,pandas-main,test_indexing.py
405,Test Put mask,VB VB NN,pandas-main,test_indexing.py
406,Custom Index,JJ NN,pandas-main,test_subclass.py
407,Test Datetime Engine,VB NN NN,pandas-main,test_engines.py
408,Test Timedelta Engine,VB NNP NN,pandas-main,test_engines.py
409,Test Numeric Engine,VB JJ NN,pandas-main,test_engines.py
410,Test Object Engine,VB NN NN,pandas-main,test_engines.py
411,Test Datetime Like,VB NN NNP,pandas-main,test_datetimelike.py
412,Test Common,VB JJ,pandas-main,test_common.py
413,Test Conversion,VB NN,pandas-main,test_any_index.py
414,Test Round Trips,VB NN NNS,pandas-main,test_any_index.py
415,Test Indexing,VB VBG,pandas-main,test_any_index.py
416,Test Rendering,VB VBG,pandas-main,test_any_index.py
417,Test Reductions,VB NNS,pandas-main,test_any_index.py
418,Test Index Constructor Inference,VB NN NN NN,pandas-main,test_index_new.py
419,Test D type Enforced,VB NN NN VBN,pandas-main,test_index_new.py
420,Test Index Constructor Unwrapping,VB NN NN VBG,pandas-main,test_index_new.py
421,Array Like,NN IN,pandas-main,test_index_new.py
422,Test Index Construction Errors,VB NN NN NNS,pandas-main,test_index_new.py
423,Test Base,VB NN,pandas-main,test_old_base.py
424,Test Numeric Base,VB JJ NN,pandas-main,test_old_base.py
425,Test Index,VB NN,pandas-main,test_base.py
426,Test Mixed Int Index,VB VBN NN NN,pandas-main,test_base.py
427,Test Index Utils,VB NN NNS,pandas-main,test_base.py
428,Test Timedelta Index,VB NNP NN,pandas-main,test_setops.py
429,Test Timedelta Index Difference,VB NNP NN NN,pandas-main,test_setops.py
430,Test Timedelta Index,VB NNP NN,pandas-main,test_constructors.py
431,Test Get Item,VB VB NN,pandas-main,test_indexing.py
432,Test Get Loc,VB VB NN,pandas-main,test_indexing.py
433,Test Get Indexer,VB VB NN,pandas-main,test_indexing.py
434,Test Where,VB WRB,pandas-main,test_indexing.py
435,Test Take,VB VB,pandas-main,test_indexing.py
436,Test Maybe Cast Slice Bound,VB RB VB NN NN,pandas-main,test_indexing.py
437,Test Contains,VB VBZ,pandas-main,test_indexing.py
438,Test Vectorized Timedelta,VB VBN NNP,pandas-main,test_scalar_compat.py
439,Test Freq,VB NN,pandas-main,test_freq_attr.py
440,Test Timedelta Index Arithmetic,VB NNP NN JJ,pandas-main,test_arithmetic.py
441,Test Pickle,VB NN,pandas-main,test_pickle.py
442,Test Timedelta Index Ops,VB NNP NN NNS,pandas-main,test_ops.py
443,Test Timedelta Index,VB NNP NN,pandas-main,test_timedelta.py
444,Test Timedelta Index Delete,VB NNP NN NN,pandas-main,test_delete.py
445,Test Timedeltas,VB NNP,pandas-main,test_timedelta_range.py
446,Test Join,VB VB,pandas-main,test_join.py
447,Test Search Sorted,VB NN VBN,pandas-main,test_searchsorted.py
448,Test Timedelta Index Rendering,VB NNP NN VBG,pandas-main,test_formats.py
449,Test Timedelta Index Factorize,VB NNP NN VBB,pandas-main,test_factorize.py
450,Test Timedelta Index Shift,VB NNP NN VB,pandas-main,test_shift.py
451,Test Timedelta Index,VB NNP NN,pandas-main,test_astype.py
452,Test Timedelta Index Insert,VB NNP NN NN,pandas-main,test_insert.py
453,Test Repeat,VB NN,pandas-main,test_repeat.py
454,Test Fill NA,VB VB NNP,pandas-main,test_fillna.py
455,Test Set Ops,VB VB NNS,pandas-main,test_setops.py
456,Test Set Ops Sort,VB VB NNS NN,pandas-main,test_setops.py
457,Test Get Loc,VB VB NN,pandas-main,test_indexing.py
458,Test Get Indexer,VB VB NN,pandas-main,test_indexing.py
459,Test Where,VB WRB,pandas-main,test_indexing.py
460,Test Take,VB VB,pandas-main,test_indexing.py
461,Test Contains,VB VBZ,pandas-main,test_indexing.py
462,Test Slice Locs,VB NN NNS,pandas-main,test_indexing.py
463,Test Get Slice Bounds,VB VB NN NNS,pandas-main,test_indexing.py
464,Test Astype,VB NNP,pandas-main,test_astype.py
465,Test Float Numeric Index,VB NN JJ NN,pandas-main,test_numeric.py
466,Test Numeric Int,VB JJ NN,pandas-main,test_numeric.py
