ID,SEQUENCE,POS,PROJECT,FILE
72,is exported,VBZ VBN,gradle,EclipseProjectDependency.java
73,dispatch,VB,gradle,MethodInvocationUnmarshallingDispatch.java
74,why unsatisfied,WRB JJ,gradle,ExplainingSpec.java
75,test,VB,gradle,Test3.java
76,get name,VB NN,gradle,ArtifactRepository.java
77,set name,VB NN,gradle,ArtifactRepository.java
78,to set,TO NN,gradle,WrapUtil.java
79,to domain object set,TO NN NN NN,gradle,WrapUtil.java
80,to named domain object set,TO VBN NN NN NN,gradle,WrapUtil.java
81,to linked set,TO JJ NN,gradle,WrapUtil.java
82,to sorted set,TO JJ NN,gradle,WrapUtil.java
83,to sorted set,TO JJ NN,gradle,WrapUtil.java
84,to list,TO NN,gradle,WrapUtil.java
85,to list,TO NN,gradle,WrapUtil.java
86,to map,TO NN,gradle,WrapUtil.java
87,to sorted map,TO JJ NN,gradle,WrapUtil.java
88,to linked map,TO JJ NN,gradle,WrapUtil.java
89,to properties,TO NNS,gradle,WrapUtil.java
90,to array,TO NN,gradle,WrapUtil.java
91,as set,IN NN,gradle,WrapUtil.java
92,dispatch,VB,gradle,AsyncConnection.java
93,dispatch to,VB TO,gradle,AsyncConnection.java
94,get task path,VB NN NN,gradle,TaskOperationDescriptor.java
95,get projects,VB NNS,gradle,BuildInformation.java
96,get root level project,VB NN NN NN,gradle,BuildInformation.java
97,get project from full path,VB NN IN JJ NN,gradle,BuildInformation.java
98,get task from full path,VB NN IN JJ NN,gradle,BuildInformation.java
99,snapshot,VB,gradle,FileClassPathSnapshotter.java
100,equals,VBZ,gradle,FileClassPathSnapshotter.java
101,hash code,NN NN,gradle,FileClassPathSnapshotter.java
102,get test kind,VB NN NN,gradle,InternalJvmTestDescriptor.java
103,get suite name,VB NN NN,gradle,InternalJvmTestDescriptor.java
104,get class name,VB NN NN,gradle,InternalJvmTestDescriptor.java
105,get method name,VB NN NN,gradle,InternalJvmTestDescriptor.java
106,apply,VB,gradle,JvmComponentPlugin.java
107,register,VB,gradle,JvmComponentPlugin.java
108,register jar,VB NNP,gradle,JvmComponentPlugin.java
109,java tool chain,NN NN NN,gradle,JvmComponentPlugin.java
110,project layout,NN NN,gradle,JvmComponentPlugin.java
111,register platform resolver,VB NN NN,gradle,JvmComponentPlugin.java
112,create binaries,VB NNS,gradle,JvmComponentPlugin.java
113,execute,VB,gradle,JvmComponentPlugin.java
114,resolve platforms,VB NNS,gradle,JvmComponentPlugin.java
115,transform,VB,gradle,JvmComponentPlugin.java
116,exported packages of,VBN NNS IN,gradle,JvmComponentPlugin.java
117,api dependencies of,NNP NNS IN,gradle,JvmComponentPlugin.java
118,component dependencies of,NN NNS IN,gradle,JvmComponentPlugin.java
119,naming scheme for,VBG NN IN,gradle,JvmComponentPlugin.java
120,create tasks,VB NNS,gradle,JvmComponentPlugin.java
121,execute,VB,gradle,JvmComponentPlugin.java
122,execute,VB,gradle,JvmComponentPlugin.java
123,api jar task name,NNP NNP NN NN,gradle,JvmComponentPlugin.java
124,execute,VB,gradle,UseGradleBuildToFetchProjectModel.java
125,is configure method,VBZ NN NN,gradle,NamedDomainObjectContainerConfigureDelegate.java
126,configure,VB,gradle,NamedDomainObjectContainerConfigureDelegate.java
127,get repository,VB NN,gradle,PublishToMavenRepository.java
128,set repository,VB NN,gradle,PublishToMavenRepository.java
129,publish,VB,gradle,PublishToMavenRepository.java
130,do publish,VB VB,gradle,PublishToMavenRepository.java
131,publish,VB,gradle,PublishToMavenRepository.java
132,get repository transport factory,VB NN NN NN,gradle,PublishToMavenRepository.java
133,get version,VB NN,gradle,ModuleVersionIdentifier.java
134,get group,VB NN,gradle,ModuleVersionIdentifier.java
135,get name,VB NN,gradle,ModuleVersionIdentifier.java
136,get module,VB NN,gradle,ModuleVersionIdentifier.java
137,run,VB,gradle,IsolatedGradleWorkerMain.java
138,main,NN,gradle,IsolatedGradleWorkerMain.java
139,get,VB,gradle,DefaultMultiProcessSafePersistentIndexedCache.java
140,create,VB,gradle,DefaultMultiProcessSafePersistentIndexedCache.java
141,put,VB,gradle,DefaultMultiProcessSafePersistentIndexedCache.java
142,run,VB,gradle,DefaultMultiProcessSafePersistentIndexedCache.java
143,remove,VB,gradle,DefaultMultiProcessSafePersistentIndexedCache.java
144,run,VB,gradle,DefaultMultiProcessSafePersistentIndexedCache.java
145,on start work,IN VB NN,gradle,DefaultMultiProcessSafePersistentIndexedCache.java
146,on end work,IN VB NN,gradle,DefaultMultiProcessSafePersistentIndexedCache.java
147,close,VB,gradle,DefaultMultiProcessSafePersistentIndexedCache.java
148,run,VB,gradle,DefaultMultiProcessSafePersistentIndexedCache.java
149,get cache,VB NN,gradle,DefaultMultiProcessSafePersistentIndexedCache.java
150,run,VB,gradle,DefaultMultiProcessSafePersistentIndexedCache.java
151,get compile options,VB NN NNS,gradle,DefaultJavaCompileSpec.java
152,set compile options,VB NN NNS,gradle,DefaultJavaCompileSpec.java
153,get dependency cache dir,VB NN NN NN,gradle,DefaultJavaCompileSpec.java
154,set dependency cache dir,VB NN NN NN,gradle,DefaultJavaCompileSpec.java
155,initialize,VB,gradle,TaskListClientProtocol.java
156,on output,IN NN,gradle,TaskListClientProtocol.java
157,build finished,VB VBN,gradle,TaskListClientProtocol.java
158,server connected,NN VBN,gradle,TaskListClientProtocol.java
159,continue connection,VB NN,gradle,TaskListClientProtocol.java
160,shutdown,NN,gradle,TaskListClientProtocol.java
161,scheme prefix,NN NN,gradle,URIBuilder.java
162,build,VB,gradle,URIBuilder.java
163,add,VB,gradle,FilteredList.java
164,add all,VB DT,gradle,FilteredList.java
165,get,VB,gradle,FilteredList.java
166,set,VB,gradle,FilteredList.java
167,remove,VB,gradle,FilteredList.java
168,index of,NN IN,gradle,FilteredList.java
169,last index of,JJ NN IN,gradle,FilteredList.java
170,list iterator,VB NN,gradle,FilteredList.java
171,list iterator,VB NN,gradle,FilteredList.java
172,sub list,JJ NN,gradle,FilteredList.java
173,has next,VBZ JJ,gradle,FilteredList.java
174,has previous,VBZ JJ,gradle,FilteredList.java
175,next,JJ,gradle,FilteredList.java
176,previous,JJ,gradle,FilteredList.java
177,next index,JJ NN,gradle,FilteredList.java
178,previous index,JJ NN,gradle,FilteredList.java
179,add,VB,gradle,FilteredList.java
180,remove,VB,gradle,FilteredList.java
181,set,VB,gradle,FilteredList.java
182,start,VB,gradle,DefaultResolutionResultBuilder.java
183,complete,VB,gradle,DefaultResolutionResultBuilder.java
184,resolved module version,JJ NN NN,gradle,DefaultResolutionResultBuilder.java
185,resolved configuration,JJ NN,gradle,DefaultResolutionResultBuilder.java
186,create or get,VB CC VB,gradle,DefaultResolutionResultBuilder.java
187,create,VB,gradle,DefaultResolutionResultBuilder.java
188,get mutation type,VB NN NN,gradle,DefaultsModelRuleExtractor.java
189,get assembly,VB NN,gradle,WithJvmAssembly.java
190,start processing,VB NN,gradle,JUnitTestClassProcessor.java
191,process test class,VB NN NN,gradle,JUnitTestClassProcessor.java
192,stop,VB,gradle,JUnitTestClassProcessor.java
193,mixes in convention aware interface,VBZ IN NN JJ NN,gradle,AsmBackedClassGeneratorTest.java
194,mixes in dynamic object aware interface,VBZ IN JJ NN JJ NN,gradle,AsmBackedClassGeneratorTest.java
195,mixes in extension aware interface,VBZ IN NN JJ NN,gradle,AsmBackedClassGeneratorTest.java
196,mixes in groovy object interface,VBZ IN JJ NN NN,gradle,AsmBackedClassGeneratorTest.java
197,caches generated subclass,VBZ VBN NN,gradle,AsmBackedClassGeneratorTest.java
198,does not decorate already decorated class,VBZ RB VB RB VBN NN,gradle,AsmBackedClassGeneratorTest.java
199,overrides public constructors,VBZ JJ NNS,gradle,AsmBackedClassGeneratorTest.java
200,includes generic type information for overridden constructor,VBZ JJ NN NN IN VBN NN,gradle,AsmBackedClassGeneratorTest.java
201,includes annotation information for overridden constructor,VBZ NN NN IN VBN NN,gradle,AsmBackedClassGeneratorTest.java
202,can construct instance,VB VBP NN,gradle,AsmBackedClassGeneratorTest.java
203,reports construction failure,VBZ NN NN,gradle,AsmBackedClassGeneratorTest.java
204,applies convention mapping to each property,VBZ NN VBG TO DT NN,gradle,AsmBackedClassGeneratorTest.java
205,call,VB,gradle,AsmBackedClassGeneratorTest.java
206,applies convention mapping to property with multiple setters,VBZ NN VBG TO NN IN JJ NNS,gradle,AsmBackedClassGeneratorTest.java
207,call,VB,gradle,AsmBackedClassGeneratorTest.java
208,call,VB,gradle,AsmBackedClassGeneratorTest.java
209,call,VB,gradle,AsmBackedClassGeneratorTest.java
210,applies convention mapping to property with getter covariant type,VBZ NN VBG TO NN IN NN NN NN,gradle,AsmBackedClassGeneratorTest.java
211,call,VB,gradle,AsmBackedClassGeneratorTest.java
212,applies convention mapping to protected methods,VBZ NN VBG TO JJ NNS,gradle,AsmBackedClassGeneratorTest.java
213,call,VB,gradle,AsmBackedClassGeneratorTest.java
214,call,VB,gradle,AsmBackedClassGeneratorTest.java
215,applies convention mapping to groovy boolean,VBZ NN NN TO NNP JJ,gradle,AsmBackedClassGeneratorTest.java
216,call,VB,gradle,AsmBackedClassGeneratorTest.java
217,call,VB,gradle,AsmBackedClassGeneratorTest.java
218,call,VB,gradle,AsmBackedClassGeneratorTest.java
219,applies convention mapping to collection getter,VBZ NN VBG TO NN NN,gradle,AsmBackedClassGeneratorTest.java
220,call,VB,gradle,AsmBackedClassGeneratorTest.java
221,handles various property types,VBZ JJ NN NNS,gradle,AsmBackedClassGeneratorTest.java
222,call,VB,gradle,AsmBackedClassGeneratorTest.java
223,does not override methods from convention aware interface,VBZ RB VB NNS IN NN JJ NN,gradle,AsmBackedClassGeneratorTest.java
224,does not override methods from superclasses marked with annotation,VBZ RB VB NNS IN NNS VBN IN NN,gradle,AsmBackedClassGeneratorTest.java
225,call,VB,gradle,AsmBackedClassGeneratorTest.java
226,call,VB,gradle,AsmBackedClassGeneratorTest.java
227,call,VB,gradle,AsmBackedClassGeneratorTest.java
228,call,VB,gradle,AsmBackedClassGeneratorTest.java
229,does not mix in convention mapping to class with annotation,VBZ RB VB IN NN VBG TO NN IN NN,gradle,AsmBackedClassGeneratorTest.java
230,does not override methods from dynamic object aware interface,VBZ RB VB NNS IN JJ NN JJ NN,gradle,AsmBackedClassGeneratorTest.java
231,can add dynamic properties and methods to java object,MD VB JJ NNS CC NNS TO NN NN,gradle,AsmBackedClassGeneratorTest.java
232,can add dynamic properties and methods to groovy object,MD VB JJ NNS CC NNS TO NN NN,gradle,AsmBackedClassGeneratorTest.java
233,respects properties added to meta class of java object,VBZ NNS VBN TO JJ NN IN NN NN,gradle,AsmBackedClassGeneratorTest.java
234,respects properties added to meta class of groovy object,VBZ NNS VBN TO JJ NN IN NNP NN,gradle,AsmBackedClassGeneratorTest.java
235,uses existing get as dynamic object method,VBZ JJ VB IN JJ JJ NN,gradle,AsmBackedClassGeneratorTest.java
236,constructor can call getter,NN MD VB NN,gradle,AsmBackedClassGeneratorTest.java
237,mixes in set value method for single valued property,VBZ IN VB NN NN IN JJ JJ NN,gradle,AsmBackedClassGeneratorTest.java
238,does not use convention value once set value method has been called,VBZ RB VB NN NN RB VB NN NN VBZ VBN VBN,gradle,AsmBackedClassGeneratorTest.java
239,call,VB,gradle,AsmBackedClassGeneratorTest.java
240,does not mix in set value method for read only property,VBZ RB VB IN VB NN NN IN VBN RB NN,gradle,AsmBackedClassGeneratorTest.java
241,does not mix in set value method for multi value property,VBZ RB VB IN VB NN NN IN JJ NN NN,gradle,AsmBackedClassGeneratorTest.java
242,overrides existing set value method,VBZ JJ VBN NN NN,gradle,AsmBackedClassGeneratorTest.java
243,call,VB,gradle,AsmBackedClassGeneratorTest.java
244,adds instead of overrides set value method if only multi arg methods,VBZ RB IN VBZ VB NN NN IN RB JJ NN NNS,gradle,AsmBackedClassGeneratorTest.java
245,does not override set value method for property that is not convention mapping aware,VBZ RB VB VB NN NN IN NN DT VBZ RB NN VBG JJ,gradle,AsmBackedClassGeneratorTest.java
246,mixes in closure overload for action method,VBZ IN NN VB IN NN NN,gradle,AsmBackedClassGeneratorTest.java
247,does not override existing closure overload,VBZ RB VB JJ NN VB,gradle,AsmBackedClassGeneratorTest.java
248,generates dsl object compatible object,VBZ NNP NN JJ NN,gradle,AsmBackedClassGeneratorTest.java
249,includes not inherited type annotations,VBZ RB JJ NN NNS,gradle,AsmBackedClassGeneratorTest.java
250,get prop,VB NN,gradle,AsmBackedClassGeneratorTest.java
251,set prop,VB NN,gradle,AsmBackedClassGeneratorTest.java
252,do stuff,VB NN,gradle,AsmBackedClassGeneratorTest.java
253,do stuff,VB NN,gradle,AsmBackedClassGeneratorTest.java
254,get prop,VB NN,gradle,AsmBackedClassGeneratorTest.java
255,set prop,VB NN,gradle,AsmBackedClassGeneratorTest.java
256,do stuff,VB NN,gradle,AsmBackedClassGeneratorTest.java
257,do stuff,VB NN,gradle,AsmBackedClassGeneratorTest.java
258,get value,VB NN,gradle,AsmBackedClassGeneratorTest.java
259,set value,VB NN,gradle,AsmBackedClassGeneratorTest.java
260,get value,VB NN,gradle,AsmBackedClassGeneratorTest.java
261,get prop,VB NN,gradle,AsmBackedClassGeneratorTest.java
262,get package protected,VB NN VBN,gradle,AsmBackedClassGeneratorTest.java
263,get protected,VB VBN,gradle,AsmBackedClassGeneratorTest.java
264,get private,VB JJ,gradle,AsmBackedClassGeneratorTest.java
265,get prop,VB NN,gradle,AsmBackedClassGeneratorTest.java
266,set prop,VB NN,gradle,AsmBackedClassGeneratorTest.java
267,get prop,VB NN,gradle,AsmBackedClassGeneratorTest.java
268,set prop,VB NN,gradle,AsmBackedClassGeneratorTest.java
269,get files,VB NNS,gradle,AsmBackedClassGeneratorTest.java
270,set files,VB NNS,gradle,AsmBackedClassGeneratorTest.java
271,get things,VB NNS,gradle,AsmBackedClassGeneratorTest.java
272,set things,VB NNS,gradle,AsmBackedClassGeneratorTest.java
273,prop,NN,gradle,AsmBackedClassGeneratorTest.java
274,prop,NN,gradle,AsmBackedClassGeneratorTest.java
275,prop,NN,gradle,AsmBackedClassGeneratorTest.java
276,do stuff,VB NN,gradle,AsmBackedClassGeneratorTest.java
277,get prop,VB NN,gradle,AsmBackedClassGeneratorTest.java
278,set prop,VB NN,gradle,AsmBackedClassGeneratorTest.java
279,prop,NN,gradle,AsmBackedClassGeneratorTest.java
280,prop,NN,gradle,AsmBackedClassGeneratorTest.java
281,get prop,VB NN,gradle,AsmBackedClassGeneratorTest.java
282,set prop,VB NN,gradle,AsmBackedClassGeneratorTest.java
283,prop,NN,gradle,AsmBackedClassGeneratorTest.java
284,prop,NN,gradle,AsmBackedClassGeneratorTest.java
285,prop,NN,gradle,AsmBackedClassGeneratorTest.java
286,get convention,VB NN,gradle,AsmBackedClassGeneratorTest.java
287,set convention,VB NN,gradle,AsmBackedClassGeneratorTest.java
288,map,VB,gradle,AsmBackedClassGeneratorTest.java
289,map,VB,gradle,AsmBackedClassGeneratorTest.java
290,get convention value,VB NN NN,gradle,AsmBackedClassGeneratorTest.java
291,get convention value,VB NN NN,gradle,AsmBackedClassGeneratorTest.java
292,get convention mapping,VB NN NN,gradle,AsmBackedClassGeneratorTest.java
293,set convention mapping,VB NN NN,gradle,AsmBackedClassGeneratorTest.java
294,get convention,VB NN,gradle,AsmBackedClassGeneratorTest.java
295,get extensions,VB NNS,gradle,AsmBackedClassGeneratorTest.java
296,get as dynamic object,VB IN JJ NN,gradle,AsmBackedClassGeneratorTest.java
297,get convention property,VB NN NN,gradle,AsmBackedClassGeneratorTest.java
298,set convention property,VB NN NN,gradle,AsmBackedClassGeneratorTest.java
299,convention method,NN NN,gradle,AsmBackedClassGeneratorTest.java
300,get array property,VB NN NN,gradle,AsmBackedClassGeneratorTest.java
301,get boolean property,VB JJ NN,gradle,AsmBackedClassGeneratorTest.java
302,get long property,VB JJ NN,gradle,AsmBackedClassGeneratorTest.java
303,get return value property,VB JJ NN NN,gradle,AsmBackedClassGeneratorTest.java
304,set return value property,VB JJ NN NN,gradle,AsmBackedClassGeneratorTest.java
305,set boolean property,VB JJ NN,gradle,AsmBackedClassGeneratorTest.java
306,get primitive,VB JJ,gradle,AsmBackedClassGeneratorTest.java
307,set primitive,VB JJ,gradle,AsmBackedClassGeneratorTest.java
308,is bool,VBZ NN,gradle,AsmBackedClassGeneratorTest.java
309,set bool,VB NN,gradle,AsmBackedClassGeneratorTest.java
310,get final getter,VB JJ NN,gradle,AsmBackedClassGeneratorTest.java
311,set final getter,VB JJ NN,gradle,AsmBackedClassGeneratorTest.java
312,set write only,VB VB RB,gradle,AsmBackedClassGeneratorTest.java
313,get overloaded,VB VBN,gradle,AsmBackedClassGeneratorTest.java
314,set overloaded,VB VBN,gradle,AsmBackedClassGeneratorTest.java
315,set overloaded,VB VBN,gradle,AsmBackedClassGeneratorTest.java
316,set overloaded,VB VBN,gradle,AsmBackedClassGeneratorTest.java
317,get interface property,VB NN NN,gradle,AsmBackedClassGeneratorTest.java
318,get property,VB NN,gradle,AsmBackedClassGeneratorTest.java
319,get interface property,VB NN NN,gradle,AsmBackedClassGeneratorTest.java
320,get overridden property,VB VBN NN,gradle,AsmBackedClassGeneratorTest.java
321,get as dynamic object,NN IN JJ NN,gradle,AsmBackedClassGeneratorTest.java
322,get overridden property,VB VBN NN,gradle,AsmBackedClassGeneratorTest.java
323,get other property,VB JJ NN,gradle,AsmBackedClassGeneratorTest.java
324,get name,VB NN,gradle,AsmBackedClassGeneratorTest.java
325,implement me,VB PRP,gradle,AsmBackedClassGeneratorTest.java
326,prompt user to combine tasks,VB NN TO VB NNS,gradle,SwingAddMultipleFavoritesInteraction.java
327,show,VB,gradle,SwingAddMultipleFavoritesInteraction.java
328,populate values,VB NNS,gradle,SwingAddMultipleFavoritesInteraction.java
329,setup ui,VB NNP,gradle,SwingAddMultipleFavoritesInteraction.java
330,window closing,NN VBG,gradle,SwingAddMultipleFavoritesInteraction.java
331,create main panel,VB JJ NN,gradle,SwingAddMultipleFavoritesInteraction.java
332,create separate sample panel,VB JJ JJ NN,gradle,SwingAddMultipleFavoritesInteraction.java
333,create combined sample panel,VB JJ JJ NN,gradle,SwingAddMultipleFavoritesInteraction.java
334,get current selection,VB JJ NN,gradle,SwingAddMultipleFavoritesInteraction.java
335,create button panel,VB NN NN,gradle,SwingAddMultipleFavoritesInteraction.java
336,action performed,NN VBN,gradle,SwingAddMultipleFavoritesInteraction.java
337,action performed,NN VBN,gradle,SwingAddMultipleFavoritesInteraction.java
338,action performed,NN VBN,gradle,SwingAddMultipleFavoritesInteraction.java
339,close,VB,gradle,SwingAddMultipleFavoritesInteraction.java
340,execute,VB,gradle,DefaultBuildExecuter.java
341,execute,VB,gradle,DefaultBuildExecuter.java
342,get gradle,VB NN,gradle,DefaultBuildExecuter.java
343,proceed,VB,gradle,DefaultBuildExecuter.java
344,get working directory,VB JJ NN,gradle,GradleRunnerInteractionVersion1.java
345,get log level,VB NN NN,gradle,GradleRunnerInteractionVersion1.java
346,get stack trace level,VB NN NN NN,gradle,GradleRunnerInteractionVersion1.java
347,report execution started,VB NN VBN,gradle,GradleRunnerInteractionVersion1.java
348,report number of tasks to execute,VB NN IN NNS TO VB,gradle,GradleRunnerInteractionVersion1.java
349,report task started,VB NN VBN,gradle,GradleRunnerInteractionVersion1.java
350,report task complete,VB NN JJ,gradle,GradleRunnerInteractionVersion1.java
351,report live output,VB JJ NN,gradle,GradleRunnerInteractionVersion1.java
352,report execution finished,VB NN VBN,gradle,GradleRunnerInteractionVersion1.java
353,get custom gradle executable,VB JJ NN JJ,gradle,GradleRunnerInteractionVersion1.java
354,get compatibility,VB NN,gradle,Utils.java
355,to string,TO NN,gradle,IdeaScopeMappingRule.java
356,convert,VB,gradle,BuildInvocationsConverter.java
357,build recursively,VB RB,gradle,BuildInvocationsConverter.java
358,collect tasks,VB NNS,gradle,BuildInvocationsConverter.java
359,convert tasks,VB NNS,gradle,BuildInvocationsConverter.java
360,locate,VB,gradle,AbstractGccCompatibleToolChain.java
361,get path,VB NN,gradle,AbstractGccCompatibleToolChain.java
362,path,NN,gradle,AbstractGccCompatibleToolChain.java
363,get meta data provider,VB JJ NNS NN,gradle,AbstractGccCompatibleToolChain.java
364,target,NN,gradle,AbstractGccCompatibleToolChain.java
365,target,NN,gradle,AbstractGccCompatibleToolChain.java
366,target,NN,gradle,AbstractGccCompatibleToolChain.java
367,target,NN,gradle,AbstractGccCompatibleToolChain.java
368,select,VB,gradle,AbstractGccCompatibleToolChain.java
369,create platform tool provider,VB NN NN NN,gradle,AbstractGccCompatibleToolChain.java
370,init tools,VB NNS,gradle,AbstractGccCompatibleToolChain.java
371,init for implementation,VB IN NN,gradle,AbstractGccCompatibleToolChain.java
372,add default tools,VB JJ NNS,gradle,AbstractGccCompatibleToolChain.java
373,configure default tools,VB NN NNS,gradle,AbstractGccCompatibleToolChain.java
374,get platform configuration,VB NN NN,gradle,AbstractGccCompatibleToolChain.java
375,supports platform,VBZ NN,gradle,AbstractGccCompatibleToolChain.java
376,apply,VB,gradle,AbstractGccCompatibleToolChain.java
377,execute,VB,gradle,AbstractGccCompatibleToolChain.java
378,supports platform,VBZ NN,gradle,AbstractGccCompatibleToolChain.java
379,apply,VB,gradle,AbstractGccCompatibleToolChain.java
380,execute,VB,gradle,AbstractGccCompatibleToolChain.java
381,supports platform,VBZ NN,gradle,AbstractGccCompatibleToolChain.java
382,apply,VB,gradle,AbstractGccCompatibleToolChain.java
383,get gc hint action,VB FW NN NN,gradle,StubDaemonHealthServices.java
384,get health tracker action,VB NN NN NN,gradle,StubDaemonHealthServices.java
385,create producer,VB NN,gradle,PatternBasedLocallyAvailableResourceFinder.java
386,transform,VB,gradle,PatternBasedLocallyAvailableResourceFinder.java
387,create,VB,gradle,PatternBasedLocallyAvailableResourceFinder.java
388,visit file,VB NN,gradle,PatternBasedLocallyAvailableResourceFinder.java
389,get matching files,VB JJ NNS,gradle,PatternBasedLocallyAvailableResourceFinder.java
390,test ignored,VB VBN,gradle,IgnoredTest.java
391,get current time,VB JJ NN,gradle,BuildCommencedTimeProvider.java
392,start,VB,gradle,WorkerProtocol.java
393,handle incoming,VB NN,gradle,WorkerProtocol.java
394,handle outgoing,VB NN,gradle,WorkerProtocol.java
395,stop requested,VB VBN,gradle,WorkerProtocol.java
396,resolved,VBD,gradle,BuildableComponentResolveResult.java
397,failed,JJ,gradle,BuildableComponentResolveResult.java
398,not found,RB VBN,gradle,BuildableComponentResolveResult.java
399,set meta data,VB NN NNS,gradle,BuildableComponentResolveResult.java
400,get createable types,VB JJ NNS,gradle,PolymorphicDomainObjectContainerInternal.java
401,get entity instantiator,VB NN NN,gradle,PolymorphicDomainObjectContainerInternal.java
402,add artifact,VB NN,gradle,BuildableIvyModuleResolveMetaData.java
403,artifacts equal,NNS JJ,gradle,BuildableIvyModuleResolveMetaData.java
404,attach artifact,VB NN,gradle,BuildableIvyModuleResolveMetaData.java
405,get causes,VB NNS,gradle,MultiCauseException.java
406,apply,VB,gradle,EarPlugin.java
407,configure with no java plugin applied,VB IN DT NN NN VBN,gradle,EarPlugin.java
408,execute,VB,gradle,EarPlugin.java
409,call,VB,gradle,EarPlugin.java
410,configure with java plugin applied,VB IN NN NN VBN,gradle,EarPlugin.java
411,execute,VB,gradle,EarPlugin.java
