,ID,TYPE,DECLARATION,PROJECT,FILE
45,45,,ovi,libobs,obs.c
46,46,,video,libobs,obs.c
47,47,,ovi,libobs,obs.c
48,48,,ovi,libobs,obs.c
49,49,void,video,libobs,obs.c
50,50,,video,libobs,obs.c
51,51,,ai,libobs,obs.c
52,52,void,view,libobs,obs.c
53,53,void,unused,libobs,obs.c
54,54,,locale,libobs,obs.c
55,55,void,module_config_path,libobs,obs.c
56,56,void,store,libobs,obs.c
57,57,void,file,libobs,obs.c
58,58,,path,libobs,obs.c
59,59,void,path,libobs,obs.c
60,60,void,locale,libobs,obs.c
61,61,void,module_config_path,libobs,obs.c
62,62,void,store,libobs,obs.c
63,63,void,argc,libobs,obs.c
64,64,void,argv,libobs,obs.c
65,65,char,locale,libobs,obs.c
66,66,char,width,libobs,obs.c
67,67,profiler_name_store_t,height,libobs,obs.c
68,68,char,ovi,libobs,obs.c
69,69,char,oai,libobs,obs.c
70,70,char,oai,libobs,obs.c
71,71,char,ovi,libobs,obs.c
72,72,char,sdr_white_level,libobs,obs.c
73,73,profiler_name_store_t,hdr_nominal_peak_level,libobs,obs.c
74,74,int,oai,libobs,obs.c
75,75,char,idx,libobs,obs.c
76,76,void,id,libobs,obs.c
77,77,void,idx,libobs,obs.c
78,78,void,id,libobs,obs.c
79,79,void,idx,libobs,obs.c
80,80,void,id,libobs,obs.c
81,81,char,unversioned_id,libobs,obs.c
82,82,void,unversioned_id,libobs,obs.c
83,83,uint32_t,idx,libobs,obs.c
84,84,uint32_t,id,libobs,obs.c
85,85,,idx,libobs,obs.c
86,86,,id,libobs,obs.c
87,87,,idx,libobs,obs.c
88,88,,id,libobs,obs.c
89,89,void,idx,libobs,obs.c
90,90,void,id,libobs,obs.c
91,91,float,idx,libobs,obs.c
92,92,float,id,libobs,obs.c
93,93,,channel,libobs,obs.c
94,94,size_t,channel,libobs,obs.c
95,95,char,source,libobs,obs.c
96,96,size_t,param,libobs,obs.c
97,97,char,param,libobs,obs.c
98,98,size_t,pstart,libobs,obs.c
99,99,char,mutex,libobs,obs.c
100,100,char,proc,libobs,obs.c
101,101,char,param,libobs,obs.c
102,102,size_t,pstart,libobs,obs.c
103,103,char,mutex,libobs,obs.c
104,104,size_t,proc,libobs,obs.c
105,105,char,param,libobs,obs.c
106,106,size_t,param,libobs,obs.c
107,107,char,param,libobs,obs.c
108,108,size_t,param,libobs,obs.c
109,109,char,param,libobs,obs.c
110,110,size_t,vfirst,libobs,obs.c
111,111,char,name,libobs,obs.c
112,112,void,mutex,libobs,obs.c
113,113,void,ptable,libobs,obs.c
114,114,void,uuid,libobs,obs.c
115,115,void,mutex,libobs,obs.c
116,116,uint32_t,ref,libobs,obs.c
117,117,uint32_t,ref,libobs,obs.c
118,118,obs_source_t,ref,libobs,obs.c
119,119,void,ref,libobs,obs.c
120,120,void,data,libobs,obs.c
121,121,void,name,libobs,obs.c
122,122,pthread_mutex_t,uuid,libobs,obs.c
123,123,void,name,libobs,obs.c
124,124,void,uuid,libobs,obs.c
125,125,void,name,libobs,obs.c
126,126,pthread_mutex_t,name,libobs,obs.c
127,127,void,name,libobs,obs.c
128,128,void,effect,libobs,obs.c
129,129,void,src_c,libobs,obs.c
130,130,void,dest_c,libobs,obs.c
131,131,void,src_a,libobs,obs.c
132,132,void,dest_a,libobs,obs.c
133,133,void,volume,libobs,obs.c
134,134,char,source_data,libobs,obs.c
135,135,pthread_mutex_t,is_private,libobs,obs.c
136,136,void,source_data,libobs,obs.c
137,137,char,source_data,libobs,obs.c
138,138,pthread_mutex_t,array,libobs,obs.c
139,139,void,cb,libobs,obs.c
140,140,void,private_data,libobs,obs.c
141,141,void,source,libobs,obs.c
142,142,void,cb,libobs,obs.c
143,143,void,data_,libobs,obs.c
144,144,char,data,libobs,obs.c
145,145,char,source,libobs,obs.c
146,146,char,name,libobs,obs.c
147,147,char,private,libobs,obs.c
148,148,char,context,libobs,obs.c
149,149,char,type,libobs,obs.c
150,150,char,settings,libobs,obs.c
151,151,,name,libobs,obs.c
152,152,void,uuid,libobs,obs.c
153,153,void,hotkey_data,libobs,obs.c
154,154,void,private,libobs,obs.c
155,155,void,context,libobs,obs.c
156,156,,type,libobs,obs.c
157,157,,settings,libobs,obs.c
158,158,,name,libobs,obs.c
159,159,,uuid,libobs,obs.c
160,160,void,hotkey_data,libobs,obs.c
161,161,void,private,libobs,obs.c
162,162,void,context,libobs,obs.c
163,163,float,context,libobs,obs.c
164,164,void,object,libobs,obs.c
165,165,obs_data_t,destroy,libobs,obs.c
166,166,bool,context,libobs,obs.c
167,167,obs_data_t,mutex,libobs,obs.c
168,168,obs_data_t,pfirst,libobs,obs.c
169,169,obs_data_array_t,phash,libobs,obs.c
170,170,obs_load_source_cb,name,libobs,obs.c
171,171,void,context,libobs,obs.c
172,172,obs_source_t,mutex,libobs,obs.c
173,173,obs_save_source_filter_cb,pfirst,libobs,obs.c
174,174,void,context,libobs,obs.c
175,175,void,mutex,libobs,obs.c
176,176,obs_source_t,pfirst_uuid,libobs,obs.c
177,177,void,context,libobs,obs.c
178,178,char,context,libobs,obs.c
179,179,bool,phead,libobs,obs.c
180,180,,context,libobs,obs.c
181,181,,puuid_head,libobs,obs.c
182,182,obs_data_t,context,libobs,obs.c
183,183,char,context,libobs,obs.c
184,184,char,name,libobs,obs.c
185,185,obs_data_t,context,libobs,obs.c
186,186,bool,name,libobs,obs.c
187,187,,phead,libobs,obs.c
188,188,,obj,libobs,obs.c
189,189,obs_data_t,obj,libobs,obs.c
190,190,char,obj,libobs,obs.c
191,191,char,obj,libobs,obs.c
192,192,obs_data_t,obj,libobs,obs.c
193,193,bool,name,libobs,obs.c
194,194,,id,libobs,obs.c
195,195,,name,libobs,obs.c
196,196,void,id,libobs,obs.c
197,197,obs_destroy_cb,param,libobs,obs.c
198,198,,param,libobs,obs.c
199,199,pthread_mutex_t,param,libobs,obs.c
200,200,void,param,libobs,obs.c
201,201,void,param,libobs,obs.c
202,202,char,param,libobs,obs.c
203,203,,v,libobs,obs.c
204,204,pthread_mutex_t,v,libobs,obs.c
205,205,void,conversion,libobs,obs.c
206,206,,frame_rate_divisor,libobs,obs.c
207,207,pthread_mutex_t,param,libobs,obs.c
208,208,void,v,libobs,obs.c
209,209,,param,libobs,obs.c
210,210,,conversion,libobs,obs.c
211,211,void,param,libobs,obs.c
212,212,,conversion,libobs,obs.c
213,213,void,frame_rate_divisor,libobs,obs.c
214,214,,param,libobs,obs.c
215,215,,param,libobs,obs.c
216,216,char,mix_idx,libobs,obs.c
217,217,,conversion,libobs,obs.c
218,218,char,callback,libobs,obs.c
219,219,void,param,libobs,obs.c
220,220,void,mix_idx,libobs,obs.c
221,221,void,callback,libobs,obs.c
222,222,void,param,libobs,obs.c
223,223,void,settings,libobs,obs.c
224,224,void,settings,libobs,obs.c
225,225,void,encoder,libobs,obs.c
226,226,void,encoder,libobs,obs.c
227,227,void,param,libobs,obs.c
228,228,void,unused,libobs,obs.c
229,229,void,type,libobs,obs.c
230,230,void,type,libobs,obs.c
231,231,char,task,libobs,obs.c
232,232,char,param,libobs,obs.c
233,233,char,wait,libobs,obs.c
234,234,char,unused,libobs,obs.c
235,235,void,handler,libobs,obs.c
236,236,void,object,libobs,obs.c
237,237,void,object,libobs,obs.c
238,238,void,weak,libobs,obs.c
239,239,void,weak,libobs,obs.c
240,240,void,object,libobs,obs.c
241,241,void,weak,libobs,obs.c
242,242,void,weak,libobs,obs.c
243,243,video_t,weak,libobs,obs.c
244,244,video_t,object,libobs,obs.c
245,245,,protocol,libobs,obs.c
246,246,uint32_t,idx,libobs,obs.c
247,247,void,protocol,libobs,obs.c
248,248,,view,libobs,obs-view.c
249,249,void,view,libobs,obs-view.c
250,250,,view,libobs,obs-view.c
251,251,obs_view_t,view,libobs,obs-view.c
252,252,obs_view_t,channel,libobs,obs-view.c
253,253,uint32_t,view,libobs,obs-view.c
254,254,obs_view_t,channel,libobs,obs-view.c
255,255,uint32_t,source,libobs,obs-view.c
256,256,obs_source_t,view,libobs,obs-view.c
257,257,obs_view_t,view,libobs,obs-view.c
258,258,obs_view_t,view,libobs,obs-view.c
259,259,obs_view_t,view,libobs,obs-view.c
260,260,obs_view_t,ovi,libobs,obs-view.c
261,261,,view,libobs,obs-view.c
262,262,obs_view_t,view,libobs,obs-view.c
263,263,obs_view_t,ovi,libobs,obs-view.c
264,264,,view,libobs,obs-view.c
265,265,obs_view_t,param,libobs,obs-view.c
266,266,,source,libobs,obs-source.c
267,267,char,f,libobs,obs-source.c
268,268,,source,libobs,obs-source.c
269,269,,source,libobs,obs-source.c
270,270,char,id,libobs,obs-source.c
271,271,char,unversioned_id,libobs,obs-source.c
272,272,uint32_t,ver,libobs,obs-source.c
273,273,,source,libobs,obs-source.c
274,274,obs_data_t,settings,libobs,obs-source.c
275,275,char,name,libobs,obs-source.c
276,276,char,uuid,libobs,obs-source.c
277,277,obs_data_t,hotkey_data,libobs,obs-source.c
278,278,bool,private,libobs,obs-source.c
279,279,char,id,libobs,obs-source.c
280,280,,source,libobs,obs-source.c
281,281,,source,libobs,obs-source.c
282,282,,source,libobs,obs-source.c
283,283,,source,libobs,obs-source.c
284,284,,source,libobs,obs-source.c
285,285,,source,libobs,obs-source.c
286,286,,source,libobs,obs-source.c
287,287,void,data,libobs,obs-source.c
288,288,obs_hotkey_pair_id,id,libobs,obs-source.c
289,289,obs_hotkey_t,key,libobs,obs-source.c
290,290,bool,pressed,libobs,obs-source.c
291,291,void,data,libobs,obs-source.c
292,292,obs_hotkey_pair_id,id,libobs,obs-source.c
293,293,obs_hotkey_t,key,libobs,obs-source.c
294,294,bool,pressed,libobs,obs-source.c
295,295,void,data,libobs,obs-source.c
296,296,obs_hotkey_id,id,libobs,obs-source.c
297,297,obs_hotkey_t,key,libobs,obs-source.c
298,298,bool,pressed,libobs,obs-source.c
299,299,void,data,libobs,obs-source.c
300,300,obs_hotkey_id,id,libobs,obs-source.c
301,301,obs_hotkey_t,key,libobs,obs-source.c
302,302,bool,pressed,libobs,obs-source.c
303,303,,source,libobs,obs-source.c
304,304,char,id,libobs,obs-source.c
305,305,char,name,libobs,obs-source.c
306,306,char,uuid,libobs,obs-source.c
307,307,obs_data_t,settings,libobs,obs-source.c
308,308,obs_data_t,hotkey_data,libobs,obs-source.c
309,309,bool,private,libobs,obs-source.c
310,310,uint32_t,last_obs_ver,libobs,obs-source.c
311,311,char,id,libobs,obs-source.c
312,312,char,name,libobs,obs-source.c
313,313,obs_data_t,settings,libobs,obs-source.c
314,314,obs_data_t,hotkey_data,libobs,obs-source.c
315,315,char,id,libobs,obs-source.c
316,316,char,name,libobs,obs-source.c
317,317,obs_data_t,settings,libobs,obs-source.c
318,318,char,id,libobs,obs-source.c
319,319,char,name,libobs,obs-source.c
320,320,char,uuid,libobs,obs-source.c
321,321,obs_data_t,settings,libobs,obs-source.c
322,322,obs_data_t,hotkey_data,libobs,obs-source.c
323,323,uint32_t,last_obs_ver,libobs,obs-source.c
324,324,bool,is_private,libobs,obs-source.c
325,325,obs_source_t,dst,libobs,obs-source.c
326,326,char,name,libobs,obs-source.c
327,327,obs_source_t,dst,libobs,obs-source.c
328,328,obs_source_t,src,libobs,obs-source.c
329,329,bool,private,libobs,obs-source.c
330,330,obs_source_t,dst,libobs,obs-source.c
331,331,obs_source_t,src,libobs,obs-source.c
332,332,obs_source_t,dst,libobs,obs-source.c
333,333,obs_source_t,filter,libobs,obs-source.c
334,334,obs_source_t,dst,libobs,obs-source.c
335,335,obs_source_t,filter,libobs,obs-source.c
336,336,obs_source_t,source,libobs,obs-source.c
337,337,char,new_name,libobs,obs-source.c
338,338,bool,create_private,libobs,obs-source.c
339,339,,frame,libobs,obs-source.c
340,340,,format,libobs,obs-source.c
341,341,uint32_t,width,libobs,obs-source.c
342,342,uint32_t,height,libobs,obs-source.c
343,343,,frame,libobs,obs-source.c
344,344,,source,libobs,obs-source.c
345,345,,source,libobs,obs-source.c
346,346,obs_source_t,source,libobs,obs-source.c
347,347,obs_source_t,source,libobs,obs-source.c
348,348,obs_weak_source_t,weak,libobs,obs-source.c
349,349,obs_weak_source_t,weak,libobs,obs-source.c
350,350,obs_source_t,source,libobs,obs-source.c
351,351,obs_source_t,source,libobs,obs-source.c
352,352,obs_weak_source_t,weak,libobs,obs-source.c
353,353,obs_weak_source_t,weak,libobs,obs-source.c
354,354,obs_weak_source_t,weak,libobs,obs-source.c
355,355,obs_source_t,source,libobs,obs-source.c
356,356,obs_source_t,source,libobs,obs-source.c
357,357,obs_source_t,source,libobs,obs-source.c
358,358,,info,libobs,obs-source.c
359,359,char,id,libobs,obs-source.c
360,360,char,id,libobs,obs-source.c
361,361,char,id,libobs,obs-source.c
362,362,obs_source_t,source,libobs,obs-source.c
363,363,obs_missing_file_cb,cb,libobs,obs-source.c
364,364,obs_source_t,source,libobs,obs-source.c
365,365,char,new_path,libobs,obs-source.c
366,366,void,data,libobs,obs-source.c
367,367,char,id,libobs,obs-source.c
368,368,obs_source_t,source,libobs,obs-source.c
369,369,obs_source_t,source,libobs,obs-source.c
370,370,obs_source_t,source,libobs,obs-source.c
371,371,char,id,libobs,obs-source.c
372,372,obs_source_t,source,libobs,obs-source.c
373,373,obs_source_t,source,libobs,obs-source.c
374,374,obs_data_t,settings,libobs,obs-source.c
375,375,obs_source_t,source,libobs,obs-source.c
376,376,obs_data_t,settings,libobs,obs-source.c
377,377,obs_source_t,source,libobs,obs-source.c
378,378,obs_source_t,source,libobs,obs-source.c
379,379,,event,libobs,obs-source.c
380,380,int32_t,type,libobs,obs-source.c
381,381,bool,mouse_up,libobs,obs-source.c
382,382,uint32_t,click_count,libobs,obs-source.c
383,383,obs_source_t,source,libobs,obs-source.c
384,384,,event,libobs,obs-source.c
385,385,bool,mouse_leave,libobs,obs-source.c
386,386,obs_source_t,source,libobs,obs-source.c
387,387,,event,libobs,obs-source.c
388,388,int,x_delta,libobs,obs-source.c
389,389,int,y_delta,libobs,obs-source.c
390,390,obs_source_t,source,libobs,obs-source.c
391,391,bool,focus,libobs,obs-source.c
392,392,obs_source_t,source,libobs,obs-source.c
393,393,,event,libobs,obs-source.c
394,394,bool,key_up,libobs,obs-source.c
395,395,obs_source_t,source,libobs,obs-source.c
396,396,obs_source_t,source,libobs,obs-source.c
397,397,bool,centered,libobs,obs-source.c
398,398,obs_source_t,source,libobs,obs-source.c
399,399,obs_source_t,source,libobs,obs-source.c
400,400,obs_source_t,source,libobs,obs-source.c
401,401,obs_source_t,source,libobs,obs-source.c
402,402,obs_source_t,parent,libobs,obs-source.c
403,403,obs_source_t,child,libobs,obs-source.c
404,404,void,param,libobs,obs-source.c
405,405,obs_source_t,parent,libobs,obs-source.c
406,406,obs_source_t,child,libobs,obs-source.c
407,407,void,param,libobs,obs-source.c
408,408,obs_source_t,parent,libobs,obs-source.c
409,409,obs_source_t,child,libobs,obs-source.c
410,410,void,param,libobs,obs-source.c
411,411,obs_source_t,parent,libobs,obs-source.c
412,412,obs_source_t,child,libobs,obs-source.c
413,413,void,param,libobs,obs-source.c
414,414,obs_source_t,source,libobs,obs-source.c
415,415,,type,libobs,obs-source.c
416,416,obs_source_t,source,libobs,obs-source.c
417,417,,type,libobs,obs-source.c
418,418,obs_source_t,source,libobs,obs-source.c
419,419,,ref_frame,libobs,obs-source.c
420,420,obs_source_t,source,libobs,obs-source.c
421,421,obs_source_t,source,libobs,obs-source.c
422,422,obs_source_t,source,libobs,obs-source.c
423,423,float,seconds,libobs,obs-source.c
424,424,size_t,sample_rate,libobs,obs-source.c
425,425,size_t,frames,libobs,obs-source.c
426,426,size_t,sample_rate,libobs,obs-source.c
427,427,uint64_t,duration,libobs,obs-source.c
428,428,obs_source_t,source,libobs,obs-source.c
429,429,uint64_t,timestamp,libobs,obs-source.c
430,430,uint64_t,os_time,libobs,obs-source.c
431,431,obs_source_t,source,libobs,obs-source.c
432,432,uint64_t,os_time,libobs,obs-source.c
433,433,obs_source_t,source,libobs,obs-source.c
434,434,uint64_t,expected,libobs,obs-source.c
435,435,uint64_t,ts,libobs,obs-source.c
436,436,uint64_t,diff,libobs,obs-source.c
437,437,uint64_t,os_time,libobs,obs-source.c
438,438,obs_source_t,source,libobs,obs-source.c
439,439,,in,libobs,obs-source.c
440,440,bool,muted,libobs,obs-source.c
441,441,uint64_t,ts1,libobs,obs-source.c
442,442,uint64_t,ts2,libobs,obs-source.c
443,443,audio_t,audio,libobs,obs-source.c
444,444,uint64_t,offset,libobs,obs-source.c
445,445,obs_source_t,source,libobs,obs-source.c
446,446,,in,libobs,obs-source.c
447,447,obs_source_t,source,libobs,obs-source.c
448,448,,in,libobs,obs-source.c
449,449,obs_source_t,source,libobs,obs-source.c
450,450,uint64_t,os_time,libobs,obs-source.c
451,451,obs_source_t,source,libobs,obs-source.c
452,452,,data,libobs,obs-source.c
453,453,,format,libobs,obs-source.c
454,454,bool,full_range,libobs,obs-source.c
455,455,uint8_t,trc,libobs,obs-source.c
456,456,,source,libobs,obs-source.c
457,457,,frame,libobs,obs-source.c
458,458,,source,libobs,obs-source.c
459,459,,frame,libobs,obs-source.c
460,460,,source,libobs,obs-source.c
461,461,,frame,libobs,obs-source.c
462,462,,source,libobs,obs-source.c
463,463,,frame,libobs,obs-source.c
464,464,,source,libobs,obs-source.c
465,465,,frame,libobs,obs-source.c
466,466,,source,libobs,obs-source.c
467,467,,frame,libobs,obs-source.c
468,468,,source,libobs,obs-source.c
469,469,,frame,libobs,obs-source.c
470,470,,source,libobs,obs-source.c
471,471,,frame,libobs,obs-source.c
472,472,,source,libobs,obs-source.c
473,473,,frame,libobs,obs-source.c
474,474,,source,libobs,obs-source.c
475,475,,frame,libobs,obs-source.c
476,476,,source,libobs,obs-source.c
477,477,,frame,libobs,obs-source.c
478,478,,source,libobs,obs-source.c
479,479,,frame,libobs,obs-source.c
480,480,,source,libobs,obs-source.c
481,481,,frame,libobs,obs-source.c
482,482,,source,libobs,obs-source.c
483,483,,frame,libobs,obs-source.c
484,484,,source,libobs,obs-source.c
485,485,,frame,libobs,obs-source.c
486,486,,source,libobs,obs-source.c
487,487,,frame,libobs,obs-source.c
488,488,,source,libobs,obs-source.c
489,489,,frame,libobs,obs-source.c
490,490,,source,libobs,obs-source.c
491,491,,frame,libobs,obs-source.c
492,492,,source,libobs,obs-source.c
493,493,,frame,libobs,obs-source.c
494,494,,source,libobs,obs-source.c
495,495,,frame,libobs,obs-source.c
496,496,,source,libobs,obs-source.c
497,497,,frame,libobs,obs-source.c
498,498,,frame,libobs,obs-source.c
499,499,,format,libobs,obs-source.c
500,500,bool,full_range,libobs,obs-source.c
501,501,uint8_t,trc,libobs,obs-source.c
502,502,,format,libobs,obs-source.c
503,503,gs_effect_t,effect,libobs,obs-source.c
504,504,char,name,libobs,obs-source.c
505,505,float,val,libobs,obs-source.c
506,506,gs_effect_t,effect,libobs,obs-source.c
507,507,char,name,libobs,obs-source.c
508,508,int,val,libobs,obs-source.c
509,509,,source,libobs,obs-source.c
510,510,,frame,libobs,obs-source.c
511,511,gs_texrender_t,texrender,libobs,obs-source.c
512,512,,source,libobs,obs-source.c
513,513,,frame,libobs,obs-source.c
514,514,gs_texture_t,tex,libobs,obs-source.c
515,515,gs_texrender_t,texrender,libobs,obs-source.c
516,516,,source,libobs,obs-source.c
517,517,,frame,libobs,obs-source.c
518,518,gs_texrender_t,texrender,libobs,obs-source.c
519,519,,source,libobs,obs-source.c
520,520,gs_effect_t,effect,libobs,obs-source.c
521,521,obs_source_t,source,libobs,obs-source.c
522,522,,format,libobs,obs-source.c
523,523,obs_source_t,source,libobs,obs-source.c
524,524,,frame,libobs,obs-source.c
525,525,obs_source_t,source,libobs,obs-source.c
526,526,obs_source_t,source,libobs,obs-source.c
527,527,long,rotation,libobs,obs-source.c
528,528,obs_source_t,source,libobs,obs-source.c
529,529,obs_source_t,source,libobs,obs-source.c
530,530,obs_source_t,source,libobs,obs-source.c
531,531,obs_source_t,source,libobs,obs-source.c
532,532,obs_source_t,source,libobs,obs-source.c
533,533,obs_source_t,source,libobs,obs-source.c
534,534,obs_source_t,source,libobs,obs-source.c
535,535,gs_effect_t,effect,libobs,obs-source.c
536,536,obs_source_t,source,libobs,obs-source.c
537,537,obs_source_t,source,libobs,obs-source.c
538,538,,type,libobs,obs-source.c
539,539,obs_source_t,source,libobs,obs-source.c
540,540,obs_source_t,source,libobs,obs-source.c
541,541,obs_source_t,source,libobs,obs-source.c
542,542,obs_source_t,source,libobs,obs-source.c
543,543,obs_source_t,source,libobs,obs-source.c
544,544,obs_source_t,source,libobs,obs-source.c
545,545,obs_source_t,source,libobs,obs-source.c
546,546,size_t,count,libobs,obs-source.c
547,547,,preferred_spaces,libobs,obs-source.c
548,548,obs_source_t,source,libobs,obs-source.c
549,549,obs_source_t,source,libobs,obs-source.c
550,550,obs_source_t,filter,libobs,obs-source.c
551,551,obs_source_t,filter,libobs,obs-source.c
552,552,obs_source_t,source,libobs,obs-source.c
553,553,obs_source_t,filter,libobs,obs-source.c
554,554,obs_source_t,source,libobs,obs-source.c
555,555,obs_source_t,filter,libobs,obs-source.c
556,556,obs_source_t,source,libobs,obs-source.c
557,557,obs_source_t,filter,libobs,obs-source.c
558,558,obs_source_t,source,libobs,obs-source.c
559,559,obs_source_t,filter,libobs,obs-source.c
560,560,obs_source_t,source,libobs,obs-source.c
561,561,obs_source_t,filter,libobs,obs-source.c
562,562,size_t,cur_idx,libobs,obs-source.c
563,563,obs_source_t,source,libobs,obs-source.c
564,564,obs_source_t,filter,libobs,obs-source.c
565,565,size_t,cur_idx,libobs,obs-source.c
566,566,obs_source_t,source,libobs,obs-source.c
567,567,obs_source_t,source,libobs,obs-source.c
568,568,obs_source_t,filter,libobs,obs-source.c
569,569,,movement,libobs,obs-source.c
570,570,obs_source_t,source,libobs,obs-source.c
571,571,obs_source_t,filter,libobs,obs-source.c
572,572,,movement,libobs,obs-source.c
573,573,obs_source_t,source,libobs,obs-source.c
574,574,obs_source_t,filter,libobs,obs-source.c
575,575,obs_source_t,source,libobs,obs-source.c
576,576,obs_source_t,filter,libobs,obs-source.c
577,577,size_t,index,libobs,obs-source.c
578,578,obs_source_t,source,libobs,obs-source.c
579,579,obs_source_t,filter,libobs,obs-source.c
580,580,size_t,index,libobs,obs-source.c
581,581,obs_source_t,source,libobs,obs-source.c
582,582,obs_source_t,source,libobs,obs-source.c
583,583,,in,libobs,obs-source.c
584,584,,dst,libobs,obs-source.c
585,585,,src,libobs,obs-source.c
586,586,uint32_t,plane,libobs,obs-source.c
587,587,uint32_t,y,libobs,obs-source.c
588,588,,dst,libobs,obs-source.c
589,589,,src,libobs,obs-source.c
590,590,uint32_t,plane,libobs,obs-source.c
591,591,uint32_t,lines,libobs,obs-source.c
592,592,,dst,libobs,obs-source.c
593,593,,src,libobs,obs-source.c
594,594,,dst,libobs,obs-source.c
595,595,,src,libobs,obs-source.c
596,596,,source,libobs,obs-source.c
597,597,,frame,libobs,obs-source.c
598,598,,source,libobs,obs-source.c
599,599,obs_source_t,source,libobs,obs-source.c
600,600,,source,libobs,obs-source.c
601,601,,frame,libobs,obs-source.c
602,602,obs_source_t,source,libobs,obs-source.c
603,603,,frame,libobs,obs-source.c
604,604,obs_source_t,source,libobs,obs-source.c
605,605,,frame,libobs,obs-source.c
606,606,obs_source_t,source,libobs,obs-source.c
607,607,,frame,libobs,obs-source.c
608,608,obs_source_t,source,libobs,obs-source.c
609,609,long,rotation,libobs,obs-source.c
610,610,obs_source_t,source,libobs,obs-source.c
611,611,,captions,libobs,obs-source.c
612,612,obs_source_t,source,libobs,obs-source.c
613,613,obs_source_caption_t,callback,libobs,obs-source.c
614,614,void,param,libobs,obs-source.c
615,615,obs_source_t,source,libobs,obs-source.c
616,616,obs_source_caption_t,callback,libobs,obs-source.c
617,617,void,param,libobs,obs-source.c
618,618,obs_source_t,source,libobs,obs-source.c
619,619,,in,libobs,obs-source.c
620,620,obs_source_t,source,libobs,obs-source.c
621,621,,frame,libobs,obs-source.c
622,622,obs_source_t,source,libobs,obs-source.c
623,623,,frame,libobs,obs-source.c
624,624,obs_source_t,source,libobs,obs-source.c
625,625,,frame,libobs,obs-source.c
626,626,obs_source_t,source,libobs,obs-source.c
627,627,obs_source_t,source,libobs,obs-source.c
628,628,,frame,libobs,obs-source.c
629,629,obs_source_t,source,libobs,obs-source.c
630,630,,frame,libobs,obs-source.c
631,631,obs_source_t,source,libobs,obs-source.c
632,632,,frame,libobs,obs-source.c
633,633,obs_source_t,source,libobs,obs-source.c
634,634,,in,libobs,obs-source.c
635,635,obs_source_t,source,libobs,obs-source.c
636,636,,audio,libobs,obs-source.c
637,637,obs_source_t,source,libobs,obs-source.c
638,638,uint32_t,frames,libobs,obs-source.c
639,639,uint64_t,ts,libobs,obs-source.c
640,640,,source,libobs,obs-source.c
641,641,uint32_t,frames,libobs,obs-source.c
642,642,,source,libobs,obs-source.c
643,643,uint32_t,frames,libobs,obs-source.c
644,644,float,balance,libobs,obs-source.c
645,645,,type,libobs,obs-source.c
646,646,obs_source_t,source,libobs,obs-source.c
647,647,,audio,libobs,obs-source.c
648,648,obs_source_t,source,libobs,obs-source.c
649,649,,audio_in,libobs,obs-source.c
650,650,obs_source_t,source,libobs,obs-source.c
651,651,,frame,libobs,obs-source.c
652,652,obs_source_t,source,libobs,obs-source.c
653,653,uint64_t,sys_time,libobs,obs-source.c
654,654,obs_source_t,source,libobs,obs-source.c
655,655,uint64_t,sys_time,libobs,obs-source.c
656,656,obs_source_t,source,libobs,obs-source.c
657,657,obs_source_t,source,libobs,obs-source.c
658,658,,frame,libobs,obs-source.c
659,659,obs_source_t,source,libobs,obs-source.c
